"year","sex","age","deaths"
2008,"female",10,5.02653525398029
2008,"female",15,12.0636846095527
2008,"female",20,18.095526914329
2008,"female",25,12.0636846095527
2008,"female",30,21.1114480667172
2008,"female",35,18.095526914329
2008,"female",40,36.1910538286581
2008,"female",45,47.2494313874147
2008,"female",50,76.4033358605004
2008,"female",55,77.4086429112964
2008,"female",60,90.4776345716452
2008,"female",65,84.4457922668688
2008,"female",70,124.658074298711
2008,"female",75,144.764215314632
2008,"female",80,155.822592873389
2008,"female",85,316.671721000758
2009,"female",0,70.2715283165244
2009,"female",1,18.0698215671063
2009,"female",5,7.02715283165244
2009,"female",10,3.01163692785105
2009,"female",15,12.0465477114042
2009,"female",20,15.0581846392552
2009,"female",25,16.0620636152056
2009,"female",30,19.0737005430566
2009,"female",35,18.0698215671063
2009,"female",40,33.1280062063615
2009,"female",45,40.155159038014
2009,"female",50,52.2017067494182
2009,"female",55,71.2754072924748
2009,"female",60,78.3025601241272
2009,"female",65,113.438324282389
2009,"female",70,114.44220325834
2009,"female",75,133.515903801396
2009,"female",80,140.543056633049
2009,"female",85,338.307214895268
2010,"female",0,59.5091609651539
2010,"female",1,15.0112488928255
2010,"female",5,5.00374963094184
2010,"female",10,7.00524948331857
2010,"female",15,8.00599940950694
2010,"female",20,12.0089991142604
2010,"female",25,15.0112488928255
2010,"female",30,26.0194980808975
2010,"female",35,22.0164983761441
2010,"female",40,31.0232477118394
2010,"female",45,44.0329967522882
2010,"female",50,44.0329967522882
2010,"female",55,72.0539946855624
2010,"female",60,95.0712429878949
2010,"female",65,114.085491585474
2010,"female",70,121.090741068792
2010,"female",75,152.113988780632
2010,"female",80,145.108739297313
2010,"female",85,346.259474461175
2011,"female",0,68.1473828703537
2011,"female",1,7.01517176606582
2011,"female",5,7.01517176606582
2011,"female",10,8.01733916121808
2011,"female",15,13.0281761369794
2011,"female",20,14.0303435321316
2011,"female",25,28.0606870642633
2011,"female",30,33.0715240400246
2011,"female",35,23.049850088502
2011,"female",40,28.0606870642633
2011,"female",45,45.0975327818517
2011,"female",50,55.1192067333743
2011,"female",55,74.1603872412672
2011,"female",60,88.1907307733988
2011,"female",65,115.24925044251
2011,"female",70,157.340281038905
2011,"female",75,177.38362894195
2011,"female",80,160.346783224362
2011,"female",85,357.773760069357
2012,"female",0,51.2814717477004
2012,"female",1,14.0772667542707
2012,"female",5,7.03863337713535
2012,"female",10,8.04415243101183
2012,"female",15,15.0827858081472
2012,"female",20,17.0938239159001
2012,"female",25,14.0772667542707
2012,"female",30,24.1324572930355
2012,"female",35,38.2097240473062
2012,"female",40,44.242838370565
2012,"female",45,52.2869908015769
2012,"female",50,81.4470433639947
2012,"female",55,91.5022339027595
2012,"female",60,104.573981603154
2012,"female",65,128.706438896189
2012,"female",70,168.927201051248
2012,"female",75,137.756110381078
2012,"female",80,163.899605781866
2012,"female",85,368.019973718791
2013,"female",0,39.1883561643836
2013,"female",1,15.0724446786091
2013,"female",5,7.03380751668423
2013,"female",10,8.03863716192483
2013,"female",15,18.0869336143309
2013,"female",20,11.0531260976466
2013,"female",25,19.0917632595715
2013,"female",30,27.1304004214963
2013,"female",35,30.1448893572181
2013,"female",40,31.1497190024587
2013,"female",45,46.2221636810678
2013,"female",50,76.3670530382859
2013,"female",55,94.4539866526168
2013,"female",60,107.516772040745
2013,"female",65,111.536090621707
2013,"female",70,153.738935721812
2013,"female",75,164.792061819459
2013,"female",80,174.840358271865
2013,"female",85,404.946347031963
2014,"female",0,48.0318552682211
2014,"female",1,10.4831430148895
2014,"female",5,3.00199095426382
2014,"female",10,12.0079638170553
2014,"female",15,14.0092911198978
2014,"female",20,15.0099547713191
2014,"female",25,21.0139366798467
2014,"female",30,26.0172549369531
2014,"female",35,25.0165912855318
2014,"female",40,45.0298643139573
2014,"female",45,47.0311916167999
2014,"female",50,63.0418100395402
2014,"female",55,79.0524284622806
2014,"female",60,136.090256593293
2014,"female",65,133.088265639029
2014,"female",70,139.092247547557
2014,"female",75,152.100875016034
2014,"female",80,193.128084724306
2014,"female",85,391.259487705718
2015,"female",0,48.9626780476776
2015,"female",1,11.0254726110984
2015,"female",5,5.01157845959019
2015,"female",10,7.01620984342627
2015,"female",15,7.01620984342627
2015,"female",20,22.0509452221969
2015,"female",25,20.0463138383608
2015,"female",30,24.0555766060329
2015,"female",35,33.0764178332953
2015,"female",40,46.1065218282298
2015,"female",45,37.0856806009674
2015,"female",50,74.1713612019349
2015,"female",55,99.2292534998858
